Segment,Road_Width_m,Curve_Sharpness,Cliff_Present,Guardrail_Present,Visibility_m,Road_Condition
1,6.5,Sharp,Yes,No,40,Poor
2,7.0,Moderate,Yes,No,60,Fair
3,6.8,Gentle,No,Yes,80,Good
4,7.2,Gentle,No,Yes,100,Good
5,6.5,Moderate,Yes,No,70,Fair
6,7.0,Gentle,No,Yes,90,Good
7,6.2,Sharp,Yes,No,50,Poor
8,5.8,Very_Sharp,Yes,No,30,Poor
9,6.5,Moderate,Yes,No,60,Fair
10,6.8,Moderate,Yes,No,65,Fair
11,7.0,Gentle,No,Yes,85,Good
12,7.2,Gentle,No,Yes,100,Good
13,6.8,Moderate,No,Yes,75,Good
14,6.5,Sharp,Yes,No,55,Poor
15,6.0,Very_Sharp,Yes,No,35,Poor
16,6.8,Moderate,Yes,No,70,Fair
17,6.5,Moderate,Yes,No,65,Fair
18,7.0,Gentle,No,Yes,80,Good
19,6.8,Moderate,Yes,No,70,Fair
20,6.5,Moderate,Yes,No,60,Fair
21,7.2,Gentle,No,Yes,95,Good
22,7.0,Gentle,No,Yes,90,Good
23,6.8,Moderate,Yes,No,65,Fair
24,7.0,Gentle,No,Yes,80,Good
25,7.2,Gentle,No,Yes,100,Good
26,6.5,Moderate,Yes,No,70,Fair
27,6.0,Very_Sharp,Yes,No,40,Poor
28,5.8,Very_Sharp,Yes,No,35,Poor
29,6.2,Sharp,Yes,No,50,Poor
30,5.5,Very_Sharp,Yes,No,25,Poor
31,6.5,Moderate,Yes,No,60,Fair
32,6.0,Sharp,Yes,No,45,Poor
33,5.8,Very_Sharp,Yes,No,30,Poor
34,6.8,Moderate,No,Yes,75,Good
35,6.5,Moderate,Yes,No,65,Fair
36,6.5,Moderate,Yes,No,60,Fair
37,5.5,Very_Sharp,Yes,No,30,Poor
38,5.8,Very_Sharp,Yes,No,35,Poor
39,6.5,Moderate,Yes,No,60,Fair
40,5.8,Very_Sharp,Yes,No,30,Poor
41,6.5,Moderate,Yes,No,65,Fair
42,6.8,Moderate,Yes,No,70,Fair
43,6.5,Moderate,Yes,No,65,Fair
44,6.5,Moderate,Yes,No,60,Fair
45,7.2,Gentle,No,Yes,100,Good
46,6.5,Moderate,Yes,No,65,Fair
47,7.0,Gentle,No,Yes,80,Good
48,7.2,Gentle,No,Yes,95,Good
49,7.0,Gentle,No,Yes,90,Good
50,6.5,Moderate,Yes,No,65,Fair
51,6.5,Moderate,Yes,No,70,Fair
52,6.2,Sharp,Yes,No,55,Poor
53,7.0,Gentle,No,Yes,85,Good
54,6.8,Moderate,No,Yes,75,Good
55,7.2,Gentle,No,Yes,90,Good
56,6.8,Moderate,Yes,No,70,Fair
57,7.0,Gentle,No,Yes,80,Good
58,6.8,Moderate,No,Yes,75,Good
59,7.0,Gentle,No,Yes,80,Good
60,7.2,Gentle,No,Yes,95,Good
61,6.8,Moderate,No,Yes,75,Good
62,6.5,Moderate,Yes,No,65,Fair
63,6.5,Moderate,Yes,No,60,Fair
64,5.0,Very_Sharp,Yes,No,20,Poor
65,6.8,Moderate,Yes,No,70,Fair
66,6.8,Moderate,Yes,No,65,Fair
67,6.5,Moderate,Yes,No,60,Fair
68,6.2,Sharp,Yes,No,55,Poor
69,7.2,Gentle,No,Yes,90,Good
70,6.5,Moderate,Yes,No,65,Fair
71,6.8,Moderate,No,Yes,75,Good
72,6.5,Moderate,Yes,No,60,Fair
73,7.2,Gentle,No,Yes,95,Good
74,5.8,Very_Sharp,Yes,No,30,Poor
75,7.2,Gentle,No,Yes,100,Good
76,7.2,Gentle,No,Yes,100,Good
77,6.0,Very_Sharp,Yes,No,40,Poor
78,6.5,Moderate,Yes,No,65,Fair
79,7.0,Gentle,No,Yes,85,Good
80,7.2,Gentle,No,Yes,95,Good
81,6.5,Moderate,Yes,No,60,Fair
82,6.5,Moderate,Yes,No,60,Fair
83,7.0,Gentle,No,Yes,80,Good
84,7.2,Gentle,No,Yes,95,Good
85,7.0,Gentle,No,Yes,85,Good
86,5.5,Very_Sharp,Yes,No,25,Poor
87,5.8,Very_Sharp,Yes,No,30,Poor
88,6.8,Moderate,No,Yes,75,Good
89,6.5,Sharp,Yes,No,55,Poor
90,6.5,Moderate,Yes,No,60,Fair
